ID,Product Name,Description,Price,Supplier Name,Supplier Contact,Category Name,Category Description,Image,Amount
1,Basic Product,Standard quality product with good value for money.,5.95,Mahindra Supplies,support@mahindrasupplies.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/1/400/300,3772.30
1,Basic Product,Standard quality product with good value for money.,5.95,Infosys Solutions,support@infosyssolutions.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/1/400/300,3772.30
1,Basic Product,Standard quality product with good value for money.,5.95,Bajaj Electronics,support@bajajelectronics.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/1/400/300,3772.30
2,Generic Item,Standard quality product with good value for money.,9.98,HCL Technologies,support@hcltechnologies.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/2/400/300,5229.52
3,Generic Item,Standard quality product with good value for money.,9.74,Birla Corporation,support@birlacorporation.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/3/400/300,7207.60
3,Generic Item,Standard quality product with good value for money.,9.74,Patanjali Ayurved,support@patanjaliayurved.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/3/400/300,7207.60
3,Generic Item,Standard quality product with good value for money.,9.74,Asian Paints,support@asianpaints.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/3/400/300,7207.60
4,Generic Item,Standard quality product with good value for money.,2.33,Infosys Solutions,support@infosyssolutions.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/4/400/300,1964.19
4,Generic Item,Standard quality product with good value for money.,2.33,Wipro Limited,support@wiprolimited.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/4/400/300,1964.19
5,Generic Item,Standard quality product with good value for money.,8.23,Reliance Industries,support@relianceindustries.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/5/400/300,4608.80
5,Generic Item,Standard quality product with good value for money.,8.23,Godrej Industries,support@godrejindustries.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/5/400/300,4608.80
6,Generic Item,Standard quality product with good value for money.,7.44,Infosys Solutions,support@infosyssolutions.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/6/400/300,3861.36
6,Generic Item,Standard quality product with good value for money.,7.44,HCL Technologies,support@hcltechnologies.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/6/400/300,3861.36
6,Generic Item,Standard quality product with good value for money.,7.44,Patanjali Ayurved,support@patanjaliayurved.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/6/400/300,3861.36
7,Dell XPS,High-quality device with premium features. Includes warranty and after-sales support.,832.54,Wipro Limited,support@wiprolimited.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/7/400/300,641055.80
7,Dell XPS,High-quality device with premium features. Includes warranty and after-sales support.,832.54,ITC Limited,support@itclimited.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/7/400/300,641055.80
8,Generic Item,Standard quality product with good value for money.,7.10,Reliance Industries,support@relianceindustries.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/8/400/300,3493.20
8,Generic Item,Standard quality product with good value for money.,7.10,Birla Corporation,support@birlacorporation.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/8/400/300,3493.20
9,Dark Chocolate,100% natural ingredients. No artificial preservatives.,6.69,Wipro Limited,support@wiprolimited.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/9/400/300,2475.30
9,Dark Chocolate,100% natural ingredients. No artificial preservatives.,6.69,Patanjali Ayurved,support@patanjaliayurved.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/9/400/300,2475.30
9,Dark Chocolate,100% natural ingredients. No artificial preservatives.,6.69,Bharti Airtel,support@bhartiairtel.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/9/400/300,2475.30
10,Generic Item,Standard quality product with good value for money.,2.95,Infosys Solutions,support@infosyssolutions.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/10/400/300,2047.30
11,Winter Jacket,Comfortable fit with premium fabric quality. Machine washable.,13.20,Hindustan Unilever,support@hindustanunilever.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/11/400/300,831.60
12,Formal Shirt,Comfortable fit with premium fabric quality. Machine washable.,27.96,Godrej Industries,support@godrejindustries.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/12/400/300,25918.92
13,Basic Product,Standard quality product with good value for money.,5.28,Birla Corporation,support@birlacorporation.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/13/400/300,3579.84
13,Basic Product,Standard quality product with good value for money.,5.28,ITC Limited,support@itclimited.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/13/400/300,3579.84
13,Basic Product,Standard quality product with good value for money.,5.28,Asian Paints,support@asianpaints.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/13/400/300,3579.84
